TITLE="Adjoint Convergence History"
VARIABLES="Iteration" "R_1" "R_2" "R_3" "R_4" "R_5" "Simulation_Time"
ZONE I=100 F=POINT
1  0.7255713253E-03  0.1152835176E-03  0.4545263844E-05  0.1675698228E-04  0.5454509876E+00  0.6519000000E+00
2  0.1039735300E+01  0.3523246751E+00  0.1536610850E+00  0.1385536092E+01  0.5759437121E+00  0.2153600000E+01
3  0.1056421033E+01  0.3321667716E+00  0.1090135427E+00  0.9121218213E+00  0.5313327628E+00  0.3651000000E+01
4  0.8971833262E+00  0.2796732512E+00  0.6350689581E-01  0.3755439765E+00  0.4373161446E+00  0.5150200000E+01
5  0.7329307902E+00  0.2158894246E+00  0.4740409361E-01  0.1558773473E+00  0.3507107189E+00  0.6648500000E+01
6  0.5917444374E+00  0.1644821396E+00  0.2906572103E-01  0.8913576660E-01  0.2849593136E+00  0.8145800000E+01
7  0.4725315191E+00  0.1257320035E+00  0.1548888161E-01  0.4438429839E-01  0.2295171887E+00  0.9644200000E+01
8  0.3712110944E+00  0.9693690216E-01  0.1081540236E-01  0.2918328641E-01  0.1801248663E+00  0.1114150000E+02
9  0.2868374170E+00  0.7535221234E-01  0.7608169496E-02  0.2077862465E-01  0.1386126213E+00  0.1263880000E+02
10  0.2193446264E+00  0.5873610682E-01  0.4720147493E-02  0.1208889538E-01  0.1057992880E+00  0.1413650000E+02
11  0.1669983067E+00  0.4567134644E-01  0.3062131827E-02  0.7566530755E-02  0.8055990793E-01  0.1579060000E+02
12  0.1267508850E+00  0.3530981679E-01  0.2218954016E-02  0.5811793905E-02  0.6118840870E-01  0.1728780000E+02
13  0.9571222900E-01  0.2707488968E-01  0.1664903526E-02  0.4473008558E-02  0.4622976727E-01  0.1878510000E+02
14  0.7179054748E-01  0.2056288462E-01  0.1253929585E-02  0.3314940778E-02  0.3467367180E-01  0.2028290000E+02
15  0.5350597484E-01  0.1547040707E-01  0.9476061101E-03  0.2437821308E-02  0.2582281853E-01  0.2177970000E+02
16  0.3967376199E-01  0.1154771991E-01  0.7182489940E-03  0.1793724238E-02  0.1912331249E-01  0.2327750000E+02
17  0.2927543461E-01  0.8569128983E-02  0.5453302227E-03  0.1315142017E-02  0.1409481112E-01  0.2477510000E+02
18  0.2146757309E-01  0.6329705194E-02  0.4151617241E-03  0.9611360188E-03  0.1033031889E-01  0.2627250000E+02
